label,mm_x,mm_y,row,col,xu,yu,image_path
P177_45.680_-17.120,45.68,-17.12,11,11,1299.7350708791723,1249.977682428002,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P177_45.680_-17.120.png
P178_57.100_-17.120,57.1,-17.12,11,12,1359.8314767831412,1250.6027291106345,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P178_57.100_-17.120.png
P179_68.520_-17.120,68.52,-17.12,11,13,1424.438564511371,1246.62023279077,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P179_68.520_-17.120.png
P180_79.940_-17.120,79.94,-17.12,11,14,1482.5596667663713,1246.022291300324,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P180_79.940_-17.120.png
P181_-79.940_-21.400,-79.94,-21.400000000000002,12,0,568.6868608121611,1283.7011252464363,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P181_-79.940_-21.400.png
P182_-68.520_-21.400,-68.52,-21.400000000000002,12,1,624.305339395294,1285.5150715614004,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P182_-68.520_-21.400.png
P183_-57.100_-21.400,-57.1,-21.400000000000002,12,2,688.7354734623749,1290.4985179485177,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P183_-57.100_-21.400.png
P184_-45.680_-21.400,-45.68,-21.400000000000002,12,3,748.6573221902107,1295.016048284384,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P184_-45.680_-21.400.png
P185_-34.260_-21.400,-34.26,-21.400000000000002,12,4,813.7526517516268,1294.3015973539511,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P185_-34.260_-21.400.png
P186_-22.840_-21.400,-22.84,-21.400000000000002,12,5,881.861899377624,1296.101863195257,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P186_-22.840_-21.400.png
P187_-11.420_-21.400,-11.42,-21.400000000000002,12,6,950.1689669564946,1299.5489965244053,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P187_-11.420_-21.400.png
P188_0.000_-21.400,0.0,-21.400000000000002,12,7,1020.4688506791603,1301.1581987291772,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P188_0.000_-21.400.png
P189_11.420_-21.400,11.42,-21.400000000000002,12,8,1089.99435480074,1300.8926403228518,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P189_11.420_-21.400.png
P190_22.840_-21.400,22.84,-21.400000000000002,12,9,1160.8511317909101,1301.5632103741464,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P190_22.840_-21.400.png
P191_34.260_-21.400,34.26,-21.400000000000002,12,10,1226.8681905766225,1303.9472731290684,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P191_34.260_-21.400.png
P192_45.680_-21.400,45.68,-21.400000000000002,12,11,1293.8627726124182,1302.826698231239,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P192_45.680_-21.400.png
P193_57.100_-21.400,57.1,-21.400000000000002,12,12,1355.9317217637454,1300.9638272228344,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P193_57.100_-21.400.png
P194_68.520_-21.400,68.52,-21.400000000000002,12,13,1416.102221921696,1303.2111996318326,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P194_68.520_-21.400.png
P195_79.940_-21.400,79.94,-21.400000000000002,12,14,1478.791818398363,1300.0564947181128,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P195_79.940_-21.400.png
P196_-79.940_-25.680,-79.94,-25.68,13,0,575.6671150062078,1330.0808392280094,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P196_-79.940_-25.680.png
P197_-68.520_-25.680,-68.52,-25.68,13,1,627.6765427468629,1327.7795765856335,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P197_-68.520_-25.680.png
P198_-57.100_-25.680,-57.1,-25.68,13,2,688.5526517255176,1339.0384170264606,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P198_-57.100_-25.680.png
